DocumentSource,SlideNumber,Content
OCEANOL_Sales Deck_June2025.pdf,1,"Confidential
Confidential"
OCEANOL_Sales Deck_June2025.pdf,2,"Confidential
Confidential"
OCEANOL_Sales Deck_June2025.pdf,3,"PERFUMERS' QUOTES Oceanol is a powerful ingredient with mossy undertones, making it perfect for enhancing the salty trend but also to push freshness. Elise Pajot, Perfumer Oceanol performs incredibly well - you smell the impact at the top of your fragrance, but it s also very long lasting. Ricardo Moya, Senior Perfumer Catapano Award The freshness Oceanol brings really differentiates it from other moss materials. Laura Gibbs, Senior Perfumer"
OCEANOL_Sales Deck_June2025.pdf,4,"OCEANOL Methyl 2,4-dihydroxy-3-methylbenzoate Readily ae V egan IPC NUMBER 190782 ete. Biodegradable g Suitable FRESH Mossy, Marine, Ozonic O NOTE IMPACT Oo TOP M@ High HEART MM High HO OH BASE Mi High OLFACTORY DESCRIPTION Fresh, bright ozonic marine top note with a full-bodied earthy, mossy and woody dry down. CHEMICAL FORMULA OLFACTORY TERRITORY CAS NUMBER MOLECULAR WEIGHT CyH,,O. Air 33662-58-7 182 VISUAL DESCRIPTION GC SUMMARY FLASH POINT SUBSTANTIVITY Crystalline See product data sheet 92 C 72 hours TYPICAL USE LEVEL VAPOR PRESSURE LOG P Up to 2% 0.000051 mm Hg @ 23 C 2.97 PRODUCT PERFORMANCE STABILITY Fine Fragrance Very Good Very Good Shampoo Good Very Good AP Deo Good Good Soap Good Good Liquid Detergent Good Very Good Powder Detergent Good Good Fabric Conditioner Very Good Good Candle Good Very Good Acid Cleaner Good Moderate Bleach Poor Poor"
OCEANOL_Sales Deck_June2025.pdf,5,"CANALITO Created by Ricardo Moya, . Senior Perfumer, Catapano Award Application Fine Fragrance 15% (Blotter number - Minus: 07 0 Plus O+: 02) Plus O++: O3 Plus V+, O+: 04) OLFACTIVE Lemon, DESCRIPTION Grapefruit A fougere accord that is citrusy and elegant. Oceanol adds a softer and more elegant moss Geranium, Violet touch in combination with different woods. Tonka Beans, Sandalwood, Oakmoss, Vetiver"
OCEANOL_Sales Deck_June2025.pdf,6,"FORMULA CANALITO Bergamot Oil Cp LMR IF F Citral N Dihydro Myrcenol Citrus Grapefruit Oil Mandarin Oil Hp Methyl Pamplemousse Herbal Anethole IF F Fresh Oceanol IF F Green Galbascone 10% IF F Adoxal 10% Citronellol 950 IF F Floral Floralozone IF F Geranium Oil Chinese IF F Kharismal Super IFF Allyl Amyl Glycolate IF F Fruity Delta Damascone IFF Verdox FINE FRAGRANCE 15% (-) 150.00 9.00 80.00 30.00 20.00 10.00 1.00 9.00 5.00 20.00 10.00 2.00 105.00 10.00 2.00 70.00 *formula continues over next column IFF information (+)O+ 0.60 (+)O++ 3.00 (+)O&V Aromatic Spicy Musk Amber Woody Lavandin Grosso Pure Turmeric Leaf Oil India LMR Bellanone Ambermor Cashmeran lonone Beta Extra Javanol Patchouli Oil Indonesia For Life LMR Sanjinol Timbersilk Veramoss Vertofix Coeur Vetiver Oil Haiti Tobacco/hay Coumarin Animalic Indole 1% Triethyl Citrate IFF IFF IFF IFF IFF IFF IFF IFF IFF IFF TOTAL: (-) 2.00 9.00 70.00 5.00 50.00 3.00 5.00 10.00 25.00 150.00 6.00 20.00 40.00 9.00 9.00 74.00 (+)O+ 79.40 (+)O++ 77.00 Blotter number (-): 07 (+)O+: 02 (+)O++: 03 (+)O&V: 04 (+)O&V 3.00 76.00 1,000.00 1,000.00 1,000.00 1,000.00"
OCEANOL_Sales Deck_June2025.pdf,7,"OLFACTIVE DESCRIPTION A combination of floral notes to make cleaning moments more enjoyable. IFF information FIESTA FLORAL Created by Ricardo Moya, Senior Perfumer, Catapano Award Application All Purpose Cleaner 1% OCEANOL Rose, Ylang, Freesia Oakmoss BASE"
OCEANOL_Sales Deck_June2025.pdf,8,"Aldehydic Aldehyde C-9 Herbal Green Floral Linalool Hexenol, Cis-3 Triplal Aquaflora Benzyl Acetate Citronellol 950 Geraniol 980 Hexyl Cinnamic Aldehyde Methyl Dihydro Jasmonate Phenoxanol Phenyl Acetaldehyde DMA Phenyl Ethyl Alcohol Ylang Ylang Oil Complete Madagascar LMR Ylanganate BEY Lilybreeze DEY IFF information FORMULA FIESTA FLORAL IFF IFF IFF IFF IFF IFF IFF *formula continues over next column ALL PURPOSE CLEANER 1% (-) 2.50 50.00 3.00 15.00 3.00 82.00 95.00 95.00 100.00 99.00 67.00 9.00 166.00 3.00 4.00 50.00 (+)O Fruity Spicy Musk Amber Woody Fresh Animalic Delta Damascone Hexyl Acetate Cinnamic Alcohol Turmeric Leaf Oil India LMR Ethylene Brassylate Cashmeran Veramoss Oceanol 10% Indole IFF IFF IFF IFF IFF TOTAL: (-) 0.50 30.00 5.00 9.00 100.00 17.00 1.00 2.00 (+)O 1,000.00 1,000.00"
OCEANOL_Sales Deck_June2025.pdf,9,"OLFACTIVE DESCRIPTION This is a blue fabric conditioner with a warm, floral rose scent, complemented by aldehydic and musky notes. IFF information OCEANOL BASE KYANEOS Created by Ricardo Moya, Senior Perfumer, Catapano Award Application Fabric Conditioner 1% Cs Green, Aldehydic, Herbal, Orange Rose, Muguet, Ylang Musk, Vanilla, Oakmoss"
OCEANOL_Sales Deck_June2025.pdf,10,FORMULA KYANEOS Aldehydic Citrus Herbal Green Floral Intreleven Aldehyde Dihydro Myrcenol Camphor Iso Bornyl Acetate Thujone Ex Cedarleaf Oil LMR Triplal Citronellol 950 Diphenyl Oxide Jasmea Phenyl Ethyl Alcohol Rosalva Rose Oxide Starfleur Styralyl Acetate Terpinelol-4 Ylanganate BEY FABRIC CONDITIONER 1% IFF IFF IFF IFF IFF IFF *formula continues over next column (-) 20.00 120.00 7.00 50.00 1.00 10.00 60.00 3.00 25.00 100.00 9.00 4.00 20.00 9.00 1.00 2.00 (+)O Fruity Balsamic Musk Woody Fresh Powdery/sweet Ethyl Vanillin Tobacco/hay Aubepine Aldehyde C-18 Benzyl Propionate Cyclacet Delta Damascone Dimethyl Benzyl Carbinyl Acetate Nectarate Verdox Phenyl Ethyl Phenyl Acetate Bellanone Zenolide Veramoss Oceanol 10% Triethyl Citrate IFF IFF IFF IFF IFF IFF IFF TOTAL: (-) 3.00 25.00 40.00 9.00 9.00 60.00 217.00 9.00 20.00 75.00 9.00 9.00 2.00 100.00 1000.00 (+)O 5.00 100.00 1000.00
OCEANOL_Sales Deck_June2025.pdf,11,"SALTED CARAMEL Created by Elise Pajot, Perfumer Application Shower Gel 1% OCEANOL G n Lemon, Marine OLFACTIVE DESCRIPTION Indulge in the perfect balance of sweet buttery caramel with a hint of sea salt, creating a harmonious blend that tantalizes your taste buds. The smooth, creamy texture highlighted by sandalwood, musks and tonka bean contrast with a fresh ozonic top with a hint of lemon. Coconut, Jasmine, Creamy Musks, Tonka bean, BASE Toffee, Amber"
OCEANOL_Sales Deck_June2025.pdf,12,"FORMULA SALTED CARAMEL Citrus Herbal Fresh Floral Fruity Spicy Balsamic Lemon Oil Italy Linalool Adoxal Calone Floriffol Methyl Beta Naphthyl Ketone Methyl Dihydro Jasmonate Aldehyde C-18 Butyl Butyryl Lactone Cyclotene 10% Decalactone Gamma Dodecalactone, Gamma Veltol Plus Veraspice 10% Benzyl Salicylate IFF *formula continues over next column SHOWER GEL 1% (-) 10.00 100.00 1.00 1.00 33.00 6.00 120.00 110.00 2.00 2.00 60.00 12.00 15.00 1.00 100.00 (+) Musk Amber Woody Fresh Powdery/sweet Tobacco/hay Edenolide Ethylene Brassylate Ambermor Cashmeran Iso E Super Karmawood Methyl lonone Gamma A Sandalore Oceanol 10% Ethyl Vanillin Coumarin IFF IFF IFF IFF IFF IFF TOTAL: (-) 30.00 150.00 3.00 20.00 100.00 4.00 30.00 20.00 20.00 50.00 130.00 20.00 1,000.00 1,000.00"
OCEANOL_Sales Deck_June2025.pdf,13,"OCEANOL OLFACTIVE DESCRIPTION The fragrance opens with ozonic notes and a hint of sea salt to evoke the refreshing and invigorating scent of the ocean breeze. Creamy coconut and aromatic cypress sit in the heart of the fragrance and combine with warm vanilla and smooth sandalwood to give a fragrance capturing a beachside retreat. BASE OCEAN MIST Created by Laura Gibbs, Senior Perfumer Application Candle 8% ft Sea Salt, Eucalyptus, Lemon Coconut, Cypress, Jasmin Vanilla, Amber, Sandalwood"
